ADELAIDE,-34.928889,138.601111,15,8,50
BRISBANE,-27.466667,153.033333,23,10,28
SYDNEY,-33.865,151.209444,17,7,90
BROOME,-17.961944,122.236111,28,13,19
CANBERRA,-35.3075,149.124417,12,-1,580
PERTH,-31.952222,115.858889,21,8,330
DARWIN,-12.45,130.833333,31,19,37
TOWNSVILLE,-19.256389,146.818333,26,15,16
NEWCASTLE,-32.916667,151.75,17,5,9
HOBART,-42.880556,147.325,11,7,23
WOLLONGONG,-34.433056,150.883056,18,9,5
